"Category Code","Item Code","Item Name","Effective Date","Reference No",IN,OUT,BALANCE,"Transaction Type","Requested By","Sytem Documnet No"
Supply,OFM0322820,ฟองน้ำ(แพ็ค2ชิ้น),06/Nov/2019,,,,8,B/B,
Supply,OFM0325990,"ฝอยสเตนเลส 25กรัม (แพ็ค 6 ชิ้น) โพลี-ไบรท์",06/Nov/2019,,,,6,B/B,
Supply,WATER0123,"น้ำดื่ม (แพ็ค 12 ขวด)",06/Nov/2019,,,,26,B/B,
Uniform,Uniform01,"เสื้อ ไซร้ SSS",06/Nov/2019,,,,1,B/B,
Uniform,Uniform02,"เสื้อ ไซร้ SS",06/Nov/2019,,,,38,B/B,
Uniform,Uniform03,"เสื้อ ไซร้ S",06/Nov/2019,,,,20,B/B,
Uniform,Uniform04,"เสื้อ ไซร้ M",06/Nov/2019,,,,34,B/B,
Uniform,Uniform05,"เสื้อ ไซร้ L",06/Nov/2019,,,,0,B/B,
Uniform,Uniform06,"เสื้อ ไซร้ XL",06/Nov/2019,,,,1,B/B,
Uniform,Uniform07,"เสื้อ ไซร้ XXL",06/Nov/2019,,,,15,B/B,
Uniform,Uniform08,"เสื้อ ไซร้ XXXL",06/Nov/2019,,,,15,B/B,
Uniform,Uniform10,"กางเกง ไซร้ 26",06/Nov/2019,,,,9,B/B,
Uniform,Uniform11,"กางเกง ไซร้ 28",06/Nov/2019,,,,0,B/B,
Uniform,Uniform12,"กางเกง ไซร้ 30",06/Nov/2019,,,,0,B/B,
Uniform,Uniform13,"กางเกง ไซร้ 32",06/Nov/2019,,,,24,B/B,
Uniform,Uniform14,"กางเกง ไซร้ 34",06/Nov/2019,,,,49,B/B,
Uniform,Uniform15,"กางเกง ไซร้ 36",06/Nov/2019,,,,14,B/B,
Uniform,Uniform16,"กางเกง ไซร้ 38",06/Nov/2019,,,,16,B/B,
Uniform,Uniform17,"กางเกง ไซร้ 40",06/Nov/2019,,,,9,B/B,
